structure,threads,repeat,total_keys,elapsed_ms,throughput_ops_per_sec,final_size,structure_valid
RBT_SingleThreaded,4,4,10000,1.95,5.12821e+06,10000,1
SkipList_FineGrained,4,4,10000,2.165,4.61894e+06,10000,1
RBT_SingleThreaded,8,0,10000,2.922,3.42231e+06,10000,1
SkipList_FineGrained,8,0,10000,4.321,2.31428e+06,10000,1
RBT_SingleThreaded,8,1,10000,1.716,5.82751e+06,10000,1
SkipList_FineGrained,8,1,10000,2.898,3.45066e+06,10000,1
RBT_SingleThreaded,8,2,10000,2.577,3.88048e+06,10000,1
SkipList_FineGrained,8,2,10000,2.131,4.69263e+06,10000,1
RBT_SingleThreaded,8,3,10000,1.665,6.00601e+06,10000,1
SkipList_FineGrained,8,3,10000,2.188,4.57038e+06,10000,1
RBT_SingleThreaded,8,4,10000,1.753,5.70451e+06,10000,1
SkipList_FineGrained,8,4,10000,2.002,4.995e+06,10000,1
RBT_SingleThreaded,16,0,10000,1.893,5.28262e+06,10000,1
SkipList_FineGrained,16,0,10000,2.168,4.61255e+06,10000,1
RBT_SingleThreaded,16,1,10000,1.67,5.98802e+06,10000,1
SkipList_FineGrained,16,1,10000,2.073,4.82393e+06,10000,1
RBT_SingleThreaded,16,2,10000,1.656,6.03865e+06,10000,1
SkipList_FineGrained,16,2,10000,2.1,4.7619e+06,10000,1
RBT_SingleThreaded,16,3,10000,1.715,5.8309e+06,10000,1
SkipList_FineGrained,16,3,10000,2.284,4.37828e+06,10000,1
RBT_SingleThreaded,16,4,10000,1.68,5.95238e+06,10000,1
SkipList_FineGrained,16,4,10000,1.892,5.28541e+06,10000,1
RBT_SingleThreaded,1,0,100000,26.743,3.7393e+06,100000,1
SkipList_FineGrained,1,0,100000,55.882,1.78948e+06,100000,1
RBT_SingleThreaded,1,1,100000,35.823,2.7915e+06,100000,1
SkipList_FineGrained,1,1,100000,56.133,1.78148e+06,100000,1
RBT_SingleThreaded,1,2,100000,26.806,3.73051e+06,100000,1
SkipList_FineGrained,1,2,100000,55.146,1.81337e+06,100000,1
RBT_SingleThreaded,1,3,100000,36.731,2.7225e+06,100000,1
SkipList_FineGrained,1,3,100000,62.801,1.59233e+06,100000,1
RBT_SingleThreaded,1,4,100000,28.898,3.46045e+06,100000,1
SkipList_FineGrained,1,4,100000,54.869,1.82252e+06,100000,1
RBT_SingleThreaded,2,0,100000,28.503,3.5084e+06,100000,1
SkipList_FineGrained,2,0,100000,33.827,2.95622e+06,100000,1
RBT_SingleThreaded,2,1,100000,26.158,3.82292e+06,100000,1
SkipList_FineGrained,2,1,100000,33.149,3.01668e+06,100000,1
RBT_SingleThreaded,2,2,100000,26.28,3.80518e+06,100000,1
SkipList_FineGrained,2,2,100000,32.647,3.06307e+06,100000,1
RBT_SingleThreaded,2,3,100000,27.064,3.69495e+06,100000,1
SkipList_FineGrained,2,3,100000,32.807,3.04813e+06,100000,1
RBT_SingleThreaded,2,4,100000,25.913,3.85907e+06,100000,1
SkipList_FineGrained,2,4,100000,32.638,3.06391e+06,100000,1
RBT_SingleThreaded,4,0,100000,25.934,3.85594e+06,100000,1
SkipList_FineGrained,4,0,100000,19.037,5.25293e+06,100000,1
RBT_SingleThreaded,4,1,100000,25.764,3.88138e+06,100000,1
SkipList_FineGrained,4,1,100000,18.951,5.27677e+06,100000,1
RBT_SingleThreaded,4,2,100000,26.761,3.73678e+06,100000,1
SkipList_FineGrained,4,2,100000,19.098,5.23615e+06,100000,1
RBT_SingleThreaded,4,3,100000,27.348,3.65657e+06,100000,1
SkipList_FineGrained,4,3,100000,20.1,4.97512e+06,100000,1
RBT_SingleThreaded,4,4,100000,26.918,3.71499e+06,100000,1
SkipList_FineGrained,4,4,100000,19.257,5.19292e+06,100000,1
RBT_SingleThreaded,8,0,100000,27.484,3.63848e+06,100000,1
SkipList_FineGrained,8,0,100000,15.079,6.63174e+06,100000,1
RBT_SingleThreaded,8,1,100000,26.267,3.80706e+06,100000,1
SkipList_FineGrained,8,1,100000,16.584,6.02991e+06,100000,1
RBT_SingleThreaded,8,2,100000,28.317,3.53145e+06,100000,1
SkipList_FineGrained,8,2,100000,18.436,5.42417e+06,100000,1
RBT_SingleThreaded,8,3,100000,26.382,3.79046e+06,100000,1
SkipList_FineGrained,8,3,100000,16.558,6.03938e+06,100000,1
RBT_SingleThreaded,8,4,100000,30.314,3.29881e+06,100000,1
SkipList_FineGrained,8,4,100000,17.444,5.73263e+06,100000,1
RBT_SingleThreaded,16,0,100000,30.514,3.27718e+06,100000,1
SkipList_FineGrained,16,0,100000,13.99,7.14796e+06,100000,1
RBT_SingleThreaded,16,1,100000,26.309,3.80098e+06,100000,1
SkipList_FineGrained,16,1,100000,14.883,6.71908e+06,100000,1
RBT_SingleThreaded,16,2,100000,25.701,3.8909e+06,100000,1
SkipList_FineGrained,16,2,100000,13.299,7.51936e+06,100000,1
